Token ID	Source Token	Source Lemma	Source POS	Translated Token	Translated Lemma	Synset ID	Link in Dictionary?
wf	U.N.	u.n.	 	 	 	 
d000.s000.t000	group	group	N	گروپ	گروپ	bn:00041942n	False
wf	drafts	draft	 	 	 	 
wf	to	to	 	 	 	 
wf	reduce	reduce	 	 	 	 
d000.s000.t002	emissions	emission	N	اخراجات	خرچ	bn:00027473n	False
wf	The	the	 	 	 	 
wf	U.N.-sponsored	u.n.-sponsored	 	 	 	 
d000.s001.t000	climate	climate	N	آب	آب	bn:00019780n	True
d000.s001.t001	conference	conference	N	کانفرنس	کانفرنس	bn:00021721n	False
wf	--	--	 	 	 	 
wf	characterized	characterize	 	 	 	 
wf	so	so	 	 	 	 
wf	far	far	 	 	 	 
wf	by	by	 	 	 	 
wf	unruly	unruly	 	 	 	 
wf	and	and	 	 	 	 
wf	mutual	mutual	 	 	 	 
d000.s001.t003	recriminations	recrimination	N	مذمت	مذمت	bn:00066603n	False
wf	--	--	 	 	 	 
wf	gained	gain	 	 	 	 
wf	renewed	renew	 	 	 	 
d000.s001.t004	focus	focus	N	توجہ	توجہ	bn:00017153n	False
d000.s001.t005	Friday	friday	N	جمعہ	جمعہ	bn:00036512n	True
wf	with	with	 	 	 	 
wf	the	the	 	 	 	 
wf	of	of	 	 	 	 
wf	a	a	 	 	 	 
d000.s001.t007	document	document	N	دستاویز	دستاویز	bn:00028015n	True
wf	outlining	outline	 	 	 	 
wf	ambitious	ambitious	 	 	 	 
wf	greenhouse-gas	greenhouse-gas	 	 	 	 
d000.s001.t008	reductions	reduction	N	گیسوں	گیسوں	bn:00025780n	False
wf	over	over	 	 	 	 
wf	the	the	 	 	 	 
wf	next	next	 	 	 	 
wf	40	40	 	 	 	 
d000.s001.t009	years	year	N	سالوں	سال	bn:00078738n	True
wf	,	,	 	 	 	 
wf	with	with	 	 	 	 
wf	industrialized	industrialize	 	 	 	 
wf	nations	nation	 	 	 	 
wf	shouldering	shoulder	 	 	 	 
wf	most	most	 	 	 	 
wf	of	of	 	 	 	 
wf	the	the	 	 	 	 
d000.s001.t010	burden	burden	N	بوجھ	بوجھ	bn:00013941n	True
wf	in	in	 	 	 	 
wf	the	the	 	 	 	 
wf	near	near	 	 	 	 
d000.s001.t011	term	term	N	مدت	مدت	bn:00076588n	True
wf	.	.	 	 	 	 
wf	The	the	 	 	 	 
d000.s002.t000	text	text	N	متن	متن	bn:00076732n	True
wf	,	,	 	 	 	 
wf	which	which	 	 	 	 
wf	could	could	 	 	 	 
wf	provide	provide	 	 	 	 
wf	the	the	 	 	 	 
d000.s002.t001	basis	basis	N	بنیاد	بنیاد	bn:00008786n	True
wf	for	for	 	 	 	 
wf	a	a	 	 	 	 
wf	final	final	 	 	 	 
wf	political	political	 	 	 	 
d000.s002.t002	deal	deal	N	معاہدے	معاہدہ	bn:00008568n	False
wf	to	to	 	 	 	 
wf	regulate	regulate	 	 	 	 
d000.s002.t003	greenhouse gases	greenhouse_gas	N	ہاؤس	ہاؤس	bn:00041712n	False
wf	,	,	 	 	 	 
wf	highlighted	highlight	 	 	 	 
wf	the	the	 	 	 	 
wf	remaining	remain	 	 	 	 
d000.s002.t004	obstacles	obstacle	N	باقی	باقی	bn:00058511n	False
wf	as	as	 	 	 	 
wf	much	much	 	 	 	 
wf	as	as	 	 	 	 
wf	it	it	 	 	 	 
wf	illuminated	illuminate	 	 	 	 
wf	a	a	 	 	 	 
d000.s002.t005	path	path	N	سے	سے	bn:00061005n	False
wf	forward	forward	 	 	 	 
wf	.	.	 	 	 	 
wf	But	but	 	 	 	 
wf	it	it	 	 	 	 
wf	was	be	 	 	 	 
wf	seen	see	 	 	 	 
wf	as	as	 	 	 	 
wf	an	a	 	 	 	 
wf	important	important	 	 	 	 
d000.s003.t000	advance	advance	N	پیش	پیش	bn:00001549n	True
wf	in	in	 	 	 	 
wf	a	a	 	 	 	 
d000.s003.t001	negotiation	negotiation	N	مذاکرات	مذاکرہ	bn:00026838n	True
wf	that	that	 	 	 	 
wf	is	be	 	 	 	 
wf	running	run	 	 	 	 
wf	out	out	 	 	 	 
wf	of	of	 	 	 	 
d000.s003.t002	time	time	N	وقت	وقت	bn:00077267n	True
wf	,	,	 	 	 	 
wf	with	with	 	 	 	 
wf	more	more	 	 	 	 
wf	than	than	 	 	 	 
wf	100	100	 	 	 	 
d000.s003.t003	world	world	N	عالمی	عالمی	bn:00045153n	False
d000.s003.t004	leaders	leader	N	رہنماؤں	رہنما	bn:00050371n	True
wf	arriving	arrive	 	 	 	 
wf	in	in	 	 	 	 
d000.s003.t005	Copenhagen	copenhagen	N	کوپن	کوپن	bn:00022479n	False
wf	next	next	 	 	 	 
d000.s003.t006	week	week	N	ہفتے	ہفتہ	bn:00014711n	True
wf	.	.	 	 	 	 
wf	Forged	forge	 	 	 	 
wf	by	by	 	 	 	 
wf	a	a	 	 	 	 
wf	U.N.	u.n.	 	 	 	 
wf	ad-hoc	ad-hoc	 	 	 	 
d000.s004.t000	working group	working_group	N	گروپ	گروپ	bn:00081604n	True
wf	,	,	 	 	 	 
wf	the	the	 	 	 	 
d000.s004.t001	text	text	N	یہ	یہ	bn:00076732n	False
wf	is	be	 	 	 	 
wf	silent	silent	 	 	 	 
wf	on	on	 	 	 	 
wf	how	how	 	 	 	 
wf	much	much	 	 	 	 
wf	rich	rich	 	 	 	 
d000.s004.t003	countries	country	N	امیر	امیر	bn:00023236n	False
wf	would	would	 	 	 	 
wf	give	give	 	 	 	 
wf	poor	poor	 	 	 	 
d000.s004.t004	ones	one	N	غریبوں	غریب	bn:00058969n	False
wf	to	to	 	 	 	 
wf	cope	cope	 	 	 	 
wf	with	with	 	 	 	 
d000.s004.t005	global warming	global_warming	N	سے	سے	bn:00040681n	True
wf	over	over	 	 	 	 
wf	the	the	 	 	 	 
wf	short	short	 	 	 	 
wf	and	and	 	 	 	 
wf	long	long	 	 	 	 
d000.s004.t006	term	term	N	اور	اور	bn:00076588n	False
wf	.	.	 	 	 	 
wf	And	and	 	 	 	 
wf	it	it	 	 	 	 
wf	provides	provide	 	 	 	 
wf	a	a	 	 	 	 
wf	of	of	 	 	 	 
d000.s005.t001	options	option	N	اختیارات	اختیار	bn:00003132n	True
