bn:00041942n	مجموعہ
bn:00062759n	منصوبہ
bn:00027473n	خوش
bn:00019780n	موسمی
bn:00021721n	نوک
bn:00063819n	غرور
bn:00066603n	الزام
bn:00017153n	خوش
bn:00036512n	حرك
bn:00067024n	نکالنا
bn:00028015n	خوش
bn:00025780n	کرنا
bn:00078738n	سال
bn:00013941n	تکلیف
bn:00076588n	وقت
bn:00076732n	متن
bn:00008786n	اساس
bn:00008568n	سمجھوتہ
bn:00041712n	کربن
bn:00058511n	رکاوٹ
bn:00061005n	طریقہ
bn:00001549n	دری
bn:00026838n	سمجھوتہ
bn:00077267n	وقت
bn:00045153n	انسانیت
bn:00029424n	زمین
bn:00050371n	دری
bn:00022479n	خوش
bn:00014711n	ہفتہ
bn:00081604n	دری
bn:00055644n	خوش
bn:00023236n	دری
bn:00058969n	دری
bn:00040681n	گرمی
bn:00003268n	قلمرو
bn:00003132n	اختيار
bn:00043267n	موضوع
bn:00053933n	زیادہ
bn:00076457n	گرمی
bn:00067923n	خوش
bn:00008985n	مقدار
bn:00035190n	لچک
bn:00064536n	خوش
bn:00015501n	حکومت
bn:00047203n	سربرا
bn:00036837n	دری
bn:00062275n	واقعہ
bn:00059783n	خوش
bn:00061135n	فیصد
bn:00025966n	مقام
bn:00026694n	قحری
bn:00061605n	وقت
bn:00021127n	تنظیم
bn:00075965n	دری
bn:00012159n	دھک
bn:00046065n	نتیجہ
bn:00019782n	تبدیل
bn:00002954n	تی
bn:00028863n	تھیںسی
bn:00025949n	چارہاری
bn:00025948n	کھلاء
bn:00035907n	ہومن
bn:00078848n	حکومت
bn:00031083n	کمشنر
bn:00049915n	اصطلاح
bn:00024615n	کرنا
bn:00056029n	حشرت
bn:00042938n	خوش
bn:00016756n	چین
bn:00014103n	صدر
bn:00001135n	دری
bn:00020980n	ناقد
bn:00020977n	خوش
bn:00044982n	گھنٹہ
bn:00035831n	دری
bn:00003341n	
bn:00057209n	فریق
bn:00021164n	فراخ
bn:00035211n	راستہ
bn:00041585n	اقتدار
bn:00033819n	سانستی
bn:00009080n	بغض
bn:00029678n	اقتصاد
bn:00052888n	
bn:00029239n	تکمیل
bn:00000085n	چالیس
bn:00046093n	خوش
bn:00026025n	دری
bn:00022995n	خرچ
